point time
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2072139
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2037134
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2129234
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2465589
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2690483
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2068035
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2525249
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2141590
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2065881
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2419141
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2326745
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2081716
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2073652
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2525373
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2691086
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2005294
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2431066
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2700819
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2062916
6730091089834467684747118016677543856957416046664541207177647052805651085408010884840003309822058947102223022566263505994950679458340368117643452723757056 2107608
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2552439
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2111698
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2035346
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2564150
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2545549
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2146690
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2640834
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2100738
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2016644
6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2409643
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2680957
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2067868
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2167770
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2549461
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2546486
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2891690
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2020332
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2076935
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2418084
6782465339560805954667329051826785443392882319401230243809379714695189226150485677718135631299273413616637209512304467131098155563074534406496709165187072 2087039
6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2115879
6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2094552
6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2410399
