 point time
0 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2041783
1 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2249505
2 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2082928
3 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 1986296
4 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2272383
5 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2050750
6 6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042048 2022723
7 6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2206558
8 6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 1975370
9 6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 1997001
10 6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2214100
11 6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2283611
12 6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2290898
13 6756278214697636819707223534252164650175149183032885725493513383750420155779248281279069470560666180359430116039283986563024417510707451262070080944472064 2379914
14 6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2166155
15 6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 1718692
16 6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2275205
17 6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2277609
18 6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2154705
19 6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2141692
20 6808652464423975089627434569401406236610615455769574762125246045639958296521723074157201792037880646873844302985324947699171893615441617550923337385902080 2074283
21 6861026714150313359547645604550647823046081728506263798756978707529496437264197867035334113515095113388258489931365908835319369720175783839776593827332096 2295536
22 6861026714150313359547645604550647823046081728506263798756978707529496437264197867035334113515095113388258489931365908835319369720175783839776593827332096 2179399
23 6861026714150313359547645604550647823046081728506263798756978707529496437264197867035334113515095113388258489931365908835319369720175783839776593827332096 2005318
24 6861026714150313359547645604550647823046081728506263798756978707529496437264197867035334113515095113388258489931365908835319369720175783839776593827332096 2002456
25 6861026714150313359547645604550647823046081728506263798756978707529496437264197867035334113515095113388258489931365908835319369720175783839776593827332096 2168205
26 6861026714150313359547645604550647823046081728506263798756978707529496437264197867035334113515095113388258489931365908835319369720175783839776593827332096 2273854
27 6861026714150313359547645604550647823046081728506263798756978707529496437264197867035334113515095113388258489931365908835319369720175783839776593827332096 2082643
28 6913400963876651629467856639699889409481548001242952835388711369419034578006672659913466434992309579902672676877406869971466845824909950128629850268762112 1989168
29 6913400963876651629467856639699889409481548001242952835388711369419034578006672659913466434992309579902672676877406869971466845824909950128629850268762112 2168733
30 6913400963876651629467856639699889409481548001242952835388711369419034578006672659913466434992309579902672676877406869971466845824909950128629850268762112 2179959
31 6913400963876651629467856639699889409481548001242952835388711369419034578006672659913466434992309579902672676877406869971466845824909950128629850268762112 2146016
32 6913400963876651629467856639699889409481548001242952835388711369419034578006672659913466434992309579902672676877406869971466845824909950128629850268762112 2105134
33 6913400963876651629467856639699889409481548001242952835388711369419034578006672659913466434992309579902672676877406869971466845824909950128629850268762112 2088708
34 6913400963876651629467856639699889409481548001242952835388711369419034578006672659913466434992309579902672676877406869971466845824909950128629850268762112 2071143
35 6965775213602989899388067674849130995917014273979641872020444031308572718749147452791598756469524046417086863823447831107614321929644116417483106710192128 2296385
36 6965775213602989899388067674849130995917014273979641872020444031308572718749147452791598756469524046417086863823447831107614321929644116417483106710192128 2046640
37 6965775213602989899388067674849130995917014273979641872020444031308572718749147452791598756469524046417086863823447831107614321929644116417483106710192128 2083265
38 6965775213602989899388067674849130995917014273979641872020444031308572718749147452791598756469524046417086863823447831107614321929644116417483106710192128 2017554
39 6965775213602989899388067674849130995917014273979641872020444031308572718749147452791598756469524046417086863823447831107614321929644116417483106710192128 2000873
40 6965775213602989899388067674849130995917014273979641872020444031308572718749147452791598756469524046417086863823447831107614321929644116417483106710192128 2291252
41 6965775213602989899388067674849130995917014273979641872020444031308572718749147452791598756469524046417086863823447831107614321929644116417483106710192128 2005871
42 7018149463329328169308278709998372582352480546716330908652176693198110859491622245669731077946738512931501050769488792243761798034378282706336363151622144 2308641
43 7018149463329328169308278709998372582352480546716330908652176693198110859491622245669731077946738512931501050769488792243761798034378282706336363151622144 2282523
44 7018149463329328169308278709998372582352480546716330908652176693198110859491622245669731077946738512931501050769488792243761798034378282706336363151622144 2639039
45 7018149463329328169308278709998372582352480546716330908652176693198110859491622245669731077946738512931501050769488792243761798034378282706336363151622144 2155068
46 7018149463329328169308278709998372582352480546716330908652176693198110859491622245669731077946738512931501050769488792243761798034378282706336363151622144 1995039
47 7018149463329328169308278709998372582352480546716330908652176693198110859491622245669731077946738512931501050769488792243761798034378282706336363151622144 2002591
48 7018149463329328169308278709998372582352480546716330908652176693198110859491622245669731077946738512931501050769488792243761798034378282706336363151622144 1486718
49 7070523713055666439228489745147614168787946819453019945283909355087649000234097038547863399423952979445915237715529753379909274139112448995189619593052160 1995274
50 7070523713055666439228489745147614168787946819453019945283909355087649000234097038547863399423952979445915237715529753379909274139112448995189619593052160 2275622
51 7070523713055666439228489745147614168787946819453019945283909355087649000234097038547863399423952979445915237715529753379909274139112448995189619593052160 2076318
52 7070523713055666439228489745147614168787946819453019945283909355087649000234097038547863399423952979445915237715529753379909274139112448995189619593052160 2002759
53 7070523713055666439228489745147614168787946819453019945283909355087649000234097038547863399423952979445915237715529753379909274139112448995189619593052160 1996171
54 7070523713055666439228489745147614168787946819453019945283909355087649000234097038547863399423952979445915237715529753379909274139112448995189619593052160 2096341
55 7070523713055666439228489745147614168787946819453019945283909355087649000234097038547863399423952979445915237715529753379909274139112448995189619593052160 2065309
56 7122897962782004709148700780296855755223413092189708981915642016977187140976571831425995720901167445960329424661570714516056750243846615284042876034482176 2069415
57 7122897962782004709148700780296855755223413092189708981915642016977187140976571831425995720901167445960329424661570714516056750243846615284042876034482176 2293797
58 7122897962782004709148700780296855755223413092189708981915642016977187140976571831425995720901167445960329424661570714516056750243846615284042876034482176 2309181
59 7122897962782004709148700780296855755223413092189708981915642016977187140976571831425995720901167445960329424661570714516056750243846615284042876034482176 2279209
60 7122897962782004709148700780296855755223413092189708981915642016977187140976571831425995720901167445960329424661570714516056750243846615284042876034482176 2288197
61 7122897962782004709148700780296855755223413092189708981915642016977187140976571831425995720901167445960329424661570714516056750243846615284042876034482176 1991639
62 7122897962782004709148700780296855755223413092189708981915642016977187140976571831425995720901167445960329424661570714516056750243846615284042876034482176 2282901
63 7175272212508342979068911815446097341658879364926398018547374678866725281719046624304128042378381912474743611607611675652204226348580781572896132475912192 2281375
64 7175272212508342979068911815446097341658879364926398018547374678866725281719046624304128042378381912474743611607611675652204226348580781572896132475912192 2329539
65 7175272212508342979068911815446097341658879364926398018547374678866725281719046624304128042378381912474743611607611675652204226348580781572896132475912192 1995010
66 7175272212508342979068911815446097341658879364926398018547374678866725281719046624304128042378381912474743611607611675652204226348580781572896132475912192 2006502
67 7175272212508342979068911815446097341658879364926398018547374678866725281719046624304128042378381912474743611607611675652204226348580781572896132475912192 36049668
68 7175272212508342979068911815446097341658879364926398018547374678866725281719046624304128042378381912474743611607611675652204226348580781572896132475912192 2142727
69 7175272212508342979068911815446097341658879364926398018547374678866725281719046624304128042378381912474743611607611675652204226348580781572896132475912192 1992893
70 7227646462234681248989122850595338928094345637663087055179107340756263422461521417182260363855596378989157798553652636788351702453314947861749388917342208 2023125
71 7227646462234681248989122850595338928094345637663087055179107340756263422461521417182260363855596378989157798553652636788351702453314947861749388917342208 2287670
72 7227646462234681248989122850595338928094345637663087055179107340756263422461521417182260363855596378989157798553652636788351702453314947861749388917342208 2081927
73 7227646462234681248989122850595338928094345637663087055179107340756263422461521417182260363855596378989157798553652636788351702453314947861749388917342208 2165868
74 7227646462234681248989122850595338928094345637663087055179107340756263422461521417182260363855596378989157798553652636788351702453314947861749388917342208 2070539
75 7227646462234681248989122850595338928094345637663087055179107340756263422461521417182260363855596378989157798553652636788351702453314947861749388917342208 2000046
76 7227646462234681248989122850595338928094345637663087055179107340756263422461521417182260363855596378989157798553652636788351702453314947861749388917342208 2282786
77 7280020711961019518909333885744580514529811910399776091810840002645801563203996210060392685332810845503571985499693597924499178558049114150602645358772224 2391031
78 7280020711961019518909333885744580514529811910399776091810840002645801563203996210060392685332810845503571985499693597924499178558049114150602645358772224 2066009
79 7280020711961019518909333885744580514529811910399776091810840002645801563203996210060392685332810845503571985499693597924499178558049114150602645358772224 2271950
80 7280020711961019518909333885744580514529811910399776091810840002645801563203996210060392685332810845503571985499693597924499178558049114150602645358772224 2272560
81 7280020711961019518909333885744580514529811910399776091810840002645801563203996210060392685332810845503571985499693597924499178558049114150602645358772224 1998759
82 7280020711961019518909333885744580514529811910399776091810840002645801563203996210060392685332810845503571985499693597924499178558049114150602645358772224 2292772
83 7280020711961019518909333885744580514529811910399776091810840002645801563203996210060392685332810845503571985499693597924499178558049114150602645358772224 2086515
84 7332394961687357788829544920893822100965278183136465128442572664535339703946471002938525006810025312017986172445734559060646654662783280439455901800202240 2281860
85 7332394961687357788829544920893822100965278183136465128442572664535339703946471002938525006810025312017986172445734559060646654662783280439455901800202240 1987480
86 7332394961687357788829544920893822100965278183136465128442572664535339703946471002938525006810025312017986172445734559060646654662783280439455901800202240 3774104
87 7332394961687357788829544920893822100965278183136465128442572664535339703946471002938525006810025312017986172445734559060646654662783280439455901800202240 1979694
88 7332394961687357788829544920893822100965278183136465128442572664535339703946471002938525006810025312017986172445734559060646654662783280439455901800202240 2496463
89 7332394961687357788829544920893822100965278183136465128442572664535339703946471002938525006810025312017986172445734559060646654662783280439455901800202240 2276509
90 7332394961687357788829544920893822100965278183136465128442572664535339703946471002938525006810025312017986172445734559060646654662783280439455901800202240 2137555
91 7384769211413696058749755956043063687400744455873154165074305326424877844688945795816657328287239778532400359391775520196794130767517446728309158241632256 2067928
92 7384769211413696058749755956043063687400744455873154165074305326424877844688945795816657328287239778532400359391775520196794130767517446728309158241632256 2122746
93 7384769211413696058749755956043063687400744455873154165074305326424877844688945795816657328287239778532400359391775520196794130767517446728309158241632256 2078484
94 7384769211413696058749755956043063687400744455873154165074305326424877844688945795816657328287239778532400359391775520196794130767517446728309158241632256 1997233
